Listofcase,date,total_cases
371,3/13/2021,556236
372,3/14/2021,557395
373,3/15/2021,559168
374,3/16/2021,560887
375,3/17/2021,562752
376,3/18/2021,564939
377,3/19/2021,566838
378,3/20/2021,568706
379,3/21/2021,570878
380,3/22/2021,573687
381,3/23/2021,577241
382,3/24/2021,580808
383,3/25/2021,584395
384,3/26/2021,588132
385,3/27/2021,591806
386,3/28/2021,595714
387,3/29/2021,600895
388,3/30/2021,605937
389,3/31/2021,611295
390,4/1/2021,617764
391,4/2/2021,624594
392,4/3/2021,630277
393,4/4/2021,637364
394,4/5/2021,644439
395,4/6/2021,651652
396,4/7/2021,659278
397,4/8/2021,666132
398,4/9/2021,673594
399,4/10/2021,678937
400,4/11/2021,684756
401,4/12/2021,691957
402,4/13/2021,697985
403,4/14/2021,703170
404,4/15/2021,707362
405,4/16/2021,711779
406,4/17/2021,715252
407,4/18/2021,718950
408,4/19/2021,723221
409,4/20/2021,727780
410,4/21/2021,732060
411,4/22/2021,736074
412,4/23/2021,739703
413,4/24/2021,742400
414,4/25/2021,745322
415,4/26/2021,748628
416,4/27/2021,751659
417,4/28/2021,754614
418,4/29/2021,756955
419,4/30/2021,759132
420,5/1/2021,760584
421,5/2/2021,761943
422,5/3/2021,763682
423,5/4/2021,765596
424,5/5/2021,767338
425,5/6/2021,769160
426,5/7/2021,770842
427,5/8/2021,772127
428,5/9/2021,773513
429,5/10/2021,775027
430,5/11/2021,776257
431,5/12/2021,777397
432,5/13/2021,778687
433,5/14/2021,779535
434,5/15/2021,779796
435,5/16/2021,780159
436,5/17/2021,780857
437,5/18/2021,782129
438,5/19/2021,783737
439,5/20/2021,785194
440,5/21/2021,786698
441,5/22/2021,787726
442,5/23/2021,789080
443,5/24/2021,790521
444,5/25/2021,792196
445,5/26/2021,793693
446,5/27/2021,794985
447,5/28/2021,796343
448,5/29/2021,797386
449,5/30/2021,798830
450,5/31/2021,800540
451,6/1/2021,802305
452,6/2/2021,804293
453,6/3/2021,805980
454,6/4/2021,807867
455,6/5/2021,809314
456,6/6/2021,810990
457,6/7/2021,812960
458,6/8/2021,815282
459,6/9/2021,817819
460,6/10/2021,820395
461,6/11/2021,822849
462,6/12/2021,824486
463,6/13/2021,826922
464,6/14/2021,829972
465,6/15/2021,833291
466,6/16/2021,837247
467,6/17/2021,841087
468,6/18/2021,844970
469,6/19/2021,848027
470,6/20/2021,851668
471,6/21/2021,856304
472,6/22/2021,861150
473,6/23/2021,866877
474,6/24/2021,872935
475,6/25/2021,878804
476,6/26/2021,883138
477,6/27/2021,888406
478,6/28/2021,896770
479,6/29/2021,904436
480,6/30/2021,913258
481,7/1/2021,921559
482,7/2/2021,930042
483,7/3/2021,936256
484,7/4/2021,944917
485,7/5/2021,954881
486,7/6/2021,966406
487,7/7/2021,977568
488,7/8/2021,989219
489,7/9/2021,1000543
490,7/10/2021,1009315
491,7/11/2021,1021189
492,7/12/2021,1034957
493,7/13/2021,1047155
494,7/14/2021,1059538
495,7/15/2021,1071774
496,7/16/2021,1083922
497,7/17/2021,1092411
498,7/18/2021,1103989
499,7/19/2021,1117310
500,7/20/2021,1128889
501,7/21/2021,1136503
502,7/22/2021,1140200
503,7/23/2021,1146564
504,7/24/2021,1153344
505,7/25/2021,1164635
506,7/26/2021,1179827
507,7/27/2021,1194752
508,7/28/2021,1210982
509,7/29/2021,1226253
510,7/30/2021,1240115
511,7/31/2021,1249484
512,8/1/2021,1264328
513,8/2/2021,1280317
514,8/3/2021,1296093
515,8/4/2021,1309910
516,8/5/2021,1322654
